District,Facility Name,Facility Type,Managing Authority,Urban/Rural
Mangochi,St. Martins Mission Hospital,Hospital,CHAM,Rural
Mulanje,Bondo Health Centre,Health Centre,Government,Rural
Mulanje,Chambe Health Centre,Health Centre,Government,Rural
Mulanje,Chinyama Health Centre,Health Centre,Government,Rural
Mulanje,Chisitu Health Centre,Health Centre,Government,Rural
Mulanje,Chonde Health Centre,Health Centre,Government,Rural
Mulanje,Dzenje Health Centre,Health Centre,Government,Rural
Mulanje,Kambenje Health Centre,Health Centre,Government,Rural
Mulanje,Lujeri Health Centre,Health Centre,Government,Rural
Mulanje,Mbiza Health Centre,Health Centre,Government,Rural
Mulanje,Milonde Health Centre,Health Centre,Government,Rural
Mulanje,Mkomaula Health Centre,Health Centre,Government,Rural
Mulanje,Mpala Health Centre,Health Centre,Government,Rural
Mulanje,Mulanje District Hospital,Hospital,Government,Urban
Mulanje,Mulanje Mission Hospital,Hospital,CHAM,Rural
Mulanje,Mulomba Health Centre,Health Centre,Government,Rural
Mulanje,Muloza Heath Centre,Health Centre,Government,Rural
Mulanje,Namasalima Health Centre,Health Centre,CHAM,Rural
Mulanje,Namphungo Health Centre,Health Centre,Government,Rural
Mulanje,Namulenga Health Centre,Health Centre,CHAM,Rural
Mulanje,Naphimba Health Centre,Health Centre,Government,Rural
Mulanje,Thembe Health Centre,Health Centre,CHAM,Rural
Mulanje,Thuchila Health Centre,Health Centre,Government,Urban
Mwanza,Kunenekude Health Centre,Health Centre,Government,Rural
Mwanza,Mwanza District Hospital,Hospital,Government,Urban
Mwanza,Thambani Health Centre,Health Centre,Government,Rural
Mwanza,Tulonkhondo Health Centre,Health Centre,Government,Urban
Neno,Chifunga Health Centre,Health Centre,Government,Rural
Neno,Ligowe Health Centre,Health Centre,Government,Urban
Neno,Lisungwi Community Hospital,Hospital,Government,Rural
Neno,Luwani Health Centre,Health Centre,Government,Rural
Neno,Magaleta Health Centre,Health Centre,Government,Rural
Neno,Matandani Health Centre,Health Centre,CHAM,Rural
Neno,Matope Health Centre,Health Centre,CHAM,Rural
Neno,Neno District Hospital,Hospital,Government,Rural
Neno,Neno Parish Health Centre,Health Centre,CHAM,Rural
Neno,Nsambe Health Centre,Health Centre,CHAM,Rural
Nsanje,Chididi Health Centre,Health Centre,CHAM,Rural
Nsanje,Kalemba Community Hospital,Hospital,CHAM,Rural
Nsanje,Lulwe Health Centre,Health Centre,CHAM,Rural
Nsanje,Masenjere Health Centre,Health Centre,Government,Rural
Nsanje,Mbenje Health Centre,Health Centre,Government,Rural
Nsanje,Ndamera Health Centre,Health Centre,Government,Rural
Nsanje,Nsanje District Hospital,Hospital,Government,Urban
Nsanje,Nyamithuthu Health Centre,Health Centre,Government,Rural
Nsanje,Phokera Health Centre,Health Centre,Government,Rural
Nsanje,Sankhulani Health Centre,Health Centre,Government,Rural
Nsanje,Sorgin Health Centre,Health Centre,Government,Rural
Nsanje,Tengani Health Centre,Health Centre,Government,Rural
Nsanje,Trinity Hospital,Hospital,CHAM,Rural
Phalombe,Chiringa CHAM Health Centre,Health Centre,CHAM,Rural
Phalombe,Chiringa Maternity,Health Centre,Government,Rural
Phalombe,Chitekesa Health Centre,Health Centre,Government,Rural
Phalombe,Holy Family Hospital,Hospital,CHAM,Rural
Phalombe,Kalinde Health Centre,Health Centre,Government,Rural
Phalombe,Migowi Health Centre,Health Centre,Government,Rural
Phalombe,Mkhwayi Health Centre,Health Centre,Government,Rural
Phalombe,Mpasa Health Centre,Health Centre,Government,Rural
Phalombe,Mwanga Health Centre,Health Centre,CHAM,Rural
Phalombe,Nambazo Health Centre,Health Centre,Government,Rural
Phalombe,Nazombe Health Centre (GoGo),Health Centre,Government,Rural
Phalombe,Nkhulambe Health Centre,Health Centre,Government,Rural
Phalombe,Phalombe Health Centre,Health Centre,Government,Rural
Phalombe,Sukasanje Health Centre,Health Centre,CHAM,Rural
Thyolo,Bvumbwe Health Centre,Health Centre,Government,Rural
Thyolo,Bvumbwe Makungwa Health Centre,Health Centre,Government,Rural
Thyolo,Chimaliro Health Centre,Health Centre,Government,Rural
Thyolo,Chimvu,Health Centre,Government,Rural
Thyolo,Chingadzi Rural Hospital,Hospital,CHAM,Rural
Thyolo,Chipho Health Centre,Health Centre,CHAM,Rural
Thyolo,Chisoka Health Centre,Health Centre,Government,Rural
Thyolo,Chithebe Health Centre,Health Centre,Government,Rural
Thyolo,Dzimbiri Health Centre (DiDi),Health Centre,Government,Rural
Thyolo,GOMBE HEALTH FACILITY,Health Centre,Government,Rural
Thyolo,Khonjeni Health Centre,Health Centre,Government,Rural
Thyolo,Magunda Health Centre,Health Centre,Government,Rural
Thyolo,Makapwa Health Centre,Health Centre,CHAM,Rural
Thyolo,Malamulo Mission Hospital,Hospital,CHAM,Rural
Thyolo,Mikolongwe Health Centre,Health Centre,Government,Rural
Thyolo,Mitengo Health Centre,Health Centre,CHAM,Rural
Thyolo,Molere Health Centre,Health Centre,CHAM,Rural
Thyolo,Thekerani Rural Hospital,Hospital,Government,Rural
Thyolo,Thomasi Health Centre,Health Centre,CHAM,Urban
Thyolo,Thyolo District Hospital,Hospital,Government,Urban
Thyolo,Zoa Health Centre,Health Centre,Government,Rural
Zomba,Bimbi Health Centre,Health Centre,Government,Rural
Zomba,Chamba Health Centre,Health Centre,Government,Rural
Zomba,Changalume Barracks,Health Centre,Government,Rural
Zomba,Chilipa Health Centre,Health Centre,CHAM,Rural
Zomba,Chingale Health Centre,Health Centre,Government,Rural
Zomba,Chipini Health Centre,Health Centre,CHAM,Rural
Zomba,Cobbe Barracks,Hospital,Government,Urban
Zomba,Domasi Rural Hospital,Hospital,Government,Rural
Zomba,H Parker Sharp Dispensary,Health Centre,CHAM,Rural
Zomba,Lambulira Health Centre,Health Centre,Government,Rural
Zomba,Likangala Health Centre,Health Centre,Government,Rural
Zomba,Machinjiri Health Centre,Health Centre,Government,Rural
Zomba,Magomero Health Centre,Health Centre,CHAM,Rural
Zomba,Makwapala Health Centre,Health Centre,Government,Rural
Zomba,Matawale Health Centre,Health Centre,Government,Urban
Zomba,Matiya Health Centre,Health Centre,CHAM,Rural
Zomba,Mayaka Health Centre,Health Centre,CHAM,Rural
Zomba,M'mambo Health Centre,Health Centre,Government,Rural
Zomba,Naisi Health Centre,Health Centre,Government,Rural
Zomba,Namadidi Health Centre,Health Centre,Government,Rural
Zomba,Namasalima Health Centre,Health Centre,Government,Rural
Zomba,Nasawa Health Centre,Health Centre,Government,Rural
Zomba,Ngwelelo Health Centre,Health Centre,Government,Rural
Zomba,Nkasala Health Centre,Health Centre,CHAM,Rural
Zomba,Pirimiti Rural Hospital,Hospital,CHAM,Rural
Zomba,Police College Hospital,Hospital,Government,Urban
Zomba,Sadzi Health Centre,Health Centre,Government,Urban
Zomba,St. Lukes Mission Hospital,Hospital,CHAM,Rural
Zomba,Thondwe Health Centre,Health Centre,Government,Rural
Zomba,Zilindo Health Centre,Health Centre,Government,Rural
Zomba,Zomba Central Hospital,Hospital,Government,Urban
Zomba,Zomba Mental Hospital,Hospital,Government,Urban
